09:14:53 INFO    can.interfaces.socketcan.socketcan Created a socket
09:16:08 INFO    autopilot  set heading value to 180.52601899285767.
09:16:08 INFO    autopilot  set heading value to 180.5131168200748.
09:16:08 INFO    autopilot  set heading value to 180.49412597315373.
09:16:08 INFO    autopilot  set heading value to 180.49413032351708.
09:16:09 INFO    autopilot  set heading value to 180.51510593566536.
09:16:09 INFO    autopilot  set heading value to 180.53554636535765.
09:16:09 INFO    autopilot  set heading value to 180.55302251724402.
09:16:09 INFO    autopilot  set heading value to 180.54331348417236.
09:16:10 INFO    autopilot  set heading value to 180.51864770953125.
09:16:10 INFO    autopilot  set heading value to 180.49442384567524.
09:16:10 INFO    autopilot  set heading value to 180.4918228788437.
09:16:10 INFO    autopilot  set heading value to 180.47870343630584.
09:16:11 INFO    autopilot  set heading value to 180.47098620371446.
09:16:11 INFO    autopilot  set heading value to 180.49873714945423.
09:16:11 INFO    autopilot  set heading value to 180.5397915582464.
09:16:11 INFO    autopilot  set heading value to 180.57457745726134.
09:16:12 INFO    autopilot  set heading value to 180.6056123618809.
09:16:12 INFO    autopilot  set heading value to 180.62135818579264.
09:16:12 INFO    autopilot  set heading value to 180.64193090615734.
09:16:12 INFO    autopilot  set heading value to 180.65988704393297.
09:16:13 INFO    autopilot  set heading value to 180.6623253532064.
09:16:13 INFO    autopilot  set heading goal to 181.41044240508492.
09:16:13 INFO    autopilot  set heading value to 180.66474574596555.
09:16:13 INFO    autopilot  set heading goal to 182.41044240508492.
09:16:13 INFO    autopilot  set heading value to 180.67755268139703.
09:16:13 INFO    autopilot  set heading goal to 183.41044240508492.
09:16:14 INFO    autopilot  set heading value to 180.70172831226338.
09:16:14 INFO    autopilot  set heading goal to 184.41044240508492.
09:16:14 INFO    autopilot  set heading value to 180.7159615241485.
09:16:14 INFO    autopilot  set heading goal to 185.41044240508492.
09:16:14 INFO    autopilot  set heading goal to 186.41044240508492.
09:16:14 INFO    autopilot  set heading value to 180.7108406616319.
09:16:14 INFO    autopilot  set heading goal to 187.41044240508492.
09:16:14 INFO    autopilot  set heading value to 180.71128317590365.
09:16:14 INFO    autopilot  set heading goal to 188.41044240508492.
09:16:15 INFO    autopilot  set heading goal to 189.41044240508492.
09:16:15 INFO    autopilot  set heading value to 180.72929483523265.
09:16:15 INFO    autopilot  set heading goal to 190.41044240508492.
09:16:15 INFO    autopilot  set heading value to 180.72499504844026.
09:16:15 INFO    autopilot  set heading goal to 191.41044240508492.
09:16:15 INFO    autopilot  set heading goal to 192.41044240508492.
09:16:15 INFO    autopilot  set heading value to 180.70328815006255.
09:16:15 INFO    autopilot  set heading goal to 193.41044240508492.
09:16:15 INFO    autopilot  set heading value to 180.6698337042897.
09:16:15 INFO    autopilot  set heading goal to 194.41044240508492.
09:16:16 INFO    autopilot  set heading goal to 195.41044240508492.
09:16:16 INFO    autopilot  set heading value to 180.63735249111951.
09:16:16 INFO    autopilot  set heading goal to 196.41044240508492.
09:16:16 INFO    autopilot  set heading value to 180.60882783370047.
09:16:16 INFO    autopilot  set heading goal to 197.41044240508492.
09:16:16 INFO    autopilot  set heading value to 180.57034729847672.
09:16:16 INFO    autopilot  set heading value to 180.50377964214064.
09:16:17 INFO    autopilot  set heading value to 180.41765399598108.
09:16:17 INFO    autopilot  set heading value to 180.3332273500262.
09:16:17 INFO    autopilot  set heading value to 180.26943875826836.
09:16:17 INFO    autopilot  set heading value to 180.21721746417228.
09:16:18 INFO    autopilot  set heading value to 180.18162933463043.
09:16:18 INFO    autopilot  set heading value to 180.15613306499384.
09:16:18 INFO    autopilot  set heading value to 180.13489689535135.
09:16:18 INFO    autopilot  set heading value to 180.13456188967749.
09:16:19 INFO    autopilot  set heading value to 180.14893024057835.
09:16:19 INFO    autopilot  set heading value to 180.17307705538718.
09:16:19 INFO    autopilot  set heading value to 180.2137875890145.
09:16:19 INFO    autopilot  set heading value to 180.2440671746426.
09:16:20 INFO    autopilot  set heading value to 180.2717809613628.
09:16:20 INFO    autopilot  set heading value to 180.2984192140086.
09:16:20 INFO    autopilot  set heading value to 180.30141751289048.
09:16:20 INFO    autopilot  set heading value to 180.2877730696154.
09:16:21 INFO    autopilot  set heading value to 180.2631566218052.
09:16:21 INFO    autopilot  set heading value to 180.2425860772182.
09:16:21 INFO    autopilot  set heading value to 180.2386358517883.
09:16:21 INFO    autopilot  set heading value to 180.24018484423553.
09:16:22 INFO    autopilot  set heading value to 180.23405530695092.
09:16:22 INFO    autopilot  set heading value to 180.20934655236093.
09:16:22 INFO    autopilot  set heading value to 180.1868074224764.
09:16:22 INFO    autopilot  set heading value to 180.17710412644232.
09:16:23 INFO    autopilot  set heading value to 180.17823841268245.
09:16:23 INFO    autopilot  set heading value to 180.16855745829403.
09:16:23 INFO    autopilot  set heading value to 180.12668158461807.
09:16:23 INFO    autopilot  set heading value to 180.07198300582075.
09:16:24 INFO    autopilot  set heading value to 180.03603545549387.
09:16:24 INFO    autopilot  set heading value to 180.02291998214284.
09:16:24 INFO    autopilot  set heading value to 180.02470520667265.
09:16:24 INFO    autopilot  set heading value to 180.04007547485716.
09:16:25 INFO    autopilot  set heading value to 180.07633097001647.
09:16:25 INFO    autopilot  set heading value to 180.13290963050108.
09:16:25 INFO    autopilot  set heading value to 180.20279635216414.
09:16:25 INFO    autopilot  set heading value to 180.25849668354712.
09:16:26 INFO    autopilot  set heading value to 180.292233101593.
09:16:26 INFO    autopilot  set heading value to 180.30146369326846.
09:16:26 INFO    autopilot  set heading value to 180.30798322871442.
09:16:27 INFO    autopilot  set heading value to 180.32291207376355.
09:16:27 INFO    autopilot  set heading value to 180.34186579964913.
09:16:27 INFO    autopilot  set heading value to 180.35105171697487.
09:16:27 INFO    autopilot  set heading value to 180.34649589199074.
09:16:28 INFO    autopilot  set heading value to 180.33019690723327.
09:16:28 INFO    autopilot  set heading value to 180.31901426915368.
09:16:28 INFO    autopilot  set heading value to 180.31368037889297.
09:16:28 INFO    autopilot  set heading value to 180.31711535342913.
09:16:29 INFO    autopilot  set heading value to 180.32946244988105.
09:16:29 INFO    autopilot  set heading value to 180.33827696507754.
09:16:29 INFO    autopilot  set heading value to 180.3596616964633.
09:16:29 INFO    autopilot  set heading value to 180.39487385058743.
09:16:30 INFO    autopilot  set heading value to 180.4249094515359.
09:16:30 INFO    autopilot  set heading value to 180.41751117665885.
09:16:30 INFO    autopilot  set heading value to 180.3950632351913.
09:16:30 INFO    autopilot  set heading value to 180.38161867945513.
09:16:31 INFO    autopilot  set heading value to 180.3703440257879.
09:16:31 INFO    autopilot  set heading value to 180.3677206791424.
09:16:31 INFO    autopilot  set heading value to 180.3898997180166.
09:16:31 INFO    autopilot  set heading value to 180.43609947774098.
09:16:32 INFO    autopilot  set heading value to 180.47376782330932.
09:16:32 INFO    autopilot  set heading value to 180.50451926241053.
09:16:32 INFO    autopilot  set heading value to 180.53629011098235.
09:16:32 INFO    autopilot  set heading value to 180.5572253360272.
09:16:33 INFO    autopilot  set heading value to 180.57321456603054.
09:16:33 INFO    autopilot  set heading value to 180.5878705345137.
09:16:33 INFO    autopilot  set heading value to 180.59413284171345.
09:16:33 INFO    autopilot  set heading value to 180.5899897230325.
09:16:34 INFO    autopilot  set heading value to 180.5760670973461.
09:16:34 INFO    autopilot  set heading value to 180.55334008939965.
09:16:34 INFO    autopilot  set heading value to 180.52546622282543.
09:16:34 INFO    autopilot  set heading value to 180.49654130512118.
09:16:35 INFO    autopilot  set heading value to 180.47603670181934.
09:16:35 INFO    autopilot  set heading value to 180.4575071679508.
09:16:35 INFO    autopilot  set heading value to 180.4216384864968.
09:16:35 INFO    autopilot  set heading value to 180.36217317695156.
09:16:36 INFO    autopilot  set heading value to 180.32194981578624.
09:16:36 INFO    autopilot  set heading value to 180.30367000531396.
